ID,Neighbourhoods,Single-Detached,Semi-Detached,Row,Duplex,Low-Rise Apt.,High-Rise Apt.,Other,Total,ID_,Total_
"32",Agincourt/Malvern,"363136","313552","265419","178583","352759","293603","0","311649","32","311649"
"137",Alderwood,"338787","348036","311932","148302","341374","361277","0","338998","137","338998"
"111",Banbury-Don Mills/York Mills,"1020131","392273","389950","358003","557483","350731","0","775044","111","775044"
"119",Bathurst Manor,"491687","348724","331718","250654","441804","348003","0","440550","119","440550"
"5",Bay Street Corridor,"0","0","0","312463","0","406859","0","314681","5","314681"
"133",Bayview Village,"635946","367746","310599","285777","508537","306938","0","470654","133","470654"
"135",Bayview Woods-Steeles/Hillcrest Village,"533790","338218","285248","367494","476067","300935","0","413859","135","413859"
"114",Bedford Park-Nortown,"890992","571284","566617","493635","711620","625053","0","811798","114","811798"
"76",Beechborough-Greenbrook,"330931","301682","0","166060","319432","333670","0","308931","76","308931"
"7",Bendale,"319468","265017","267251","216289","297759","262292","0","291974","7","291974"
"37",Birchcliffe-Cliffside,"409673","301241","320645","256497","328407","340924","0","386119","37","386119"
"155",Black Creek,"397196","335324","234957","131230","358937","285910","0","303157","155","303157"
"51",Briar Hill-Belgravia,"317139","316474","0","193779","338266","314417","0","291474","51","291474"
"128",Broadview North,"475095","337913","497557","252929","412563","392847","0","402485","128","402485"
"123",Brookhaven-Amesbury,"341713","316204","0","159506","365925","334644","0","304034","123","304034"
"85",Cabbagetown-South St. James Town,"772369","554735","502278","236541","474866","502902","0","410693","85","410693"
"50",Caledonia-Fairbank,"307476","484103","0","0","338663","313884","0","335600","50","335600"
"62",Casa Loma,"1490421","676404","865411","546964","1033405","748894","0","1091572","62","1091572"
"39",Church-Yonge Corridor,"598382","441759","531895","289486","0","613068","0","312838","39","312838"
"69",Clairlea-Birchmount,"343713","294642","292295","79451","303812","304386","0","326903","69","326903"
"120",Clanton Park,"511330","0","0","259728","488279","294937","0","481416","120","481416"
"36",Cliffcrest,"389305","259790","246381","444136","326994","315618","0","376065","36","376065"
"97",Danforth Village-East York,"349801","320536","338155","0","403641","340301","0","344486","97","344486"
"107",Don Valley Village/Pleasant View,"456500","371000","283867","215595","400678","350801","0","354840","107","354840"
"33",Dorset Park,"301141","280238","273271","174162","291180","256612","0","257737","33","257737"
"3",Dovercourt/Davenport/Junction,"366281","325577","307310","233840","375167","328955","360525","337641","3","337641"
"8",Downsview,"404859","321879","237422","162496","383548","329437","0","328699","8","328699"
"105",Dufferin Grove/Little Portugal,"420295","390983","340509","204560","446565","376148","0","379608","105","379608"
"94",East End-Danforth,"440782","343823","350704","239591","405068","333805","0","380968","94","380968"
"146",Edenbridge-Humber Valley,"913247","333129","408596","242941","1075012","439134","0","779137","146","779137"
"25",Eglinton East,"318414","296315","228277","169904","376650","326087","0","261019","25","261019"
"150",Elms-Old Rexdale,"311744","262187","191295","157853","310577","228246","0","257301","150","257301"
"121",Englemount-Lawrence,"566978","0","299977","255828","571972","329295","0","446340","121","446340"
"144",Eringate-Centennial-West Deane,"412200","336917","293098","210216","344680","0","0","360777","144","360777"
"142",Etobicoke West Mall,"483236","287939","347812","217575","391165","0","0","343944","142","343944"
"109",Flemingdon Park,"0","374547","263634","176436","0","166630","0","187326","109","187326"
"56",Forest Hill North,"873841","0","0","322616","807646","0","0","795082","56","795082"
"57",Forest Hill South,"1497351","1237414","807765","424552","0","650651","0","1243163","57","1243163"
"23",Guildwood,"358388","245544","228117","266398","357590","357917","0","329823","23","329823"
"132",Henry Farm,"586876","0","242382","171795","0","0","0","329968","132","329968"
"100",High Park North/Junction,"509307","381540","314327","287552","552521","433703","345857","438132","100","438132"
"101",High Park-Swansea,"697621","430479","394029","240515","583095","543595","0","530209","101","530209"
"147",Humber Heights-Westmount,"449297","369688","339747","241477","414687","0","0","393506","147","393506"
"53",Humewood-Cedarvale,"664721","385013","0","464808","476694","356908","0","577175","53","577175"
"34",Ionview,"326116","359289","231134","140232","380407","254999","0","309481","34","309481"
"48",Islington/City Centre North,"522777","360836","328339","299472","500539","248034","0","434621","48","434621"
"47",Islington/City Centre South,"441935","359057","388406","250487","365815","706352","0","399479","47","399479"
"78",Keelesdale-Eglinton West,"302037","308583","0","146677","285515","354137","0","300040","78","300040"
"35",Kennedy Park,"284528","294975","258711","188678","352317","266137","0","265166","35","265166"
"81",Kensington-Chinatown,"499273","463244","412539","289111","360987","417984","0","361067","81","361067"
"149",Kingsview Village-The Westway,"422130","291926","319743","184569","364146","315142","0","310000","149","310000"
"141",Kingsway South,"821180","408955","536236","474869","602640","525411","0","749003","141","749003"
"74",Lambton Baby Point,"570145","353803","341278","0","360471","411713","0","492556","74","492556"
"16",L'Amoreaux/Steeles/Milliken,"394055","293458","259152","202151","346337","339360","0","314642","16","314642"
"115",Lansing-Westgate,"632525","368527","0","281301","570594","481307","0","511843","115","511843"
"54",Lawrence Park North,"696441","513899","742895","346335","668820","578698","0","648913","54","648913"
"55",Lawrence Park South,"1052230","538936","739199","528038","764105","439414","0","962759","55","962759"
"129",Leaside-Bennington,"793622","471634","500139","267067","0","368007","0","687903","129","687903"
"106",Little Italy/Trinity-Bellwoods,"509611","434453","413727","315063","542560","473806","0","454837","106","454837"
"138",Long Branch,"378314","348942","296050","175217","342264","311698","0","343409","138","343409"
"124",Maple Leaf,"438177","310722","293950","0","396628","363806","0","415033","124","415033"
"46",Mimico,"362047","349196","421607","346605","351872","356478","0","359135","46","359135"
"27",Morningside,"325877","308497","229476","156640","499552","146520","0","291096","27","291096"
"83",Moss Park/Regent Park,"515191","423440","379270","288596","0","381955","0","337696","83","337696"
"73",Mount Dennis,"281797","242247","357869","167724","276430","302600","0","260257","73","260257"
"153",Mount Olive-Silverstone-Jamestown/Thistletown,"331077","278026","206947","164267","401628","285730","0","276792","153","276792"
"59",Mount Pleasant East,"646995","476507","492682","297650","651728","468313","0","551676","59","551676"
"139",New Toronto,"344081","306136","284565","227393","281095","340836","0","328529","139","328529"
"82",North St. James Town,"0","0","584379","335759","0","387181","0","426495","82","426495"
"68",Oakridge,"353165","274076","0","174207","279349","271778","0","314861","68","314861"
"52",Oakwood-Vaughan,"345522","304651","0","274650","450028","314941","0","338995","52","338995"
"131",O'Connor-Parkview,"402932","314327","297207","188199","294944","331693","0","375862","131","375862"
"98",Old East York,"391925","396828","0","0","406199","363639","0","392866","98","392866"
"14",Parkwoods-Donalda,"536523","313246","251590","188236","419358","296178","0","403292","14","403292"
"89",Playter Estates-Danforth,"588842","392469","460519","0","492662","425452","0","466288","89","466288"
"145",Princess-Rosethorn,"705273","0","0","0","489027","0","0","701606","145","701606"
"151",Rexdale-Kipling,"346690","250050","0","0","306672","300627","0","338042","151","338042"
"86",Riverdale,"475319","378291","351145","332798","440255","373198","405380","393663","86","393663"
"77",Rockcliffe-Smythe,"309639","312630","148705","215128","295242","387321","0","296010","77","296010"
"102",Roncesvalles,"446056","392604","368450","274101","409496","408996","0","403121","102","403121"
"60",Rosedale,"1779140","1206734","1074732","466206","1401195","574898","0","1047059","60","1047059"
"125",Rustic/Pelmo Park/Humberlea,"406222","402277","268501","267223","368707","335822","0","394171","125","394171"
"24",Scarborough Village,"455131","266576","282398","164272","315427","180484","0","303643","24","303643"
"103",South Parkdale/King West,"498127","396483","347090","266185","402842","357930","0","320767","103","320767"
"113",St. Andrew-Windfields,"1015437","392475","429371","401815","991114","361318","0","850785","113","850785"
"140",Stonegate-Queensway,"499118","282145","460232","346840","381284","368877","0","480386","140","480386"
"71",Tam O'Shanter-Sullivan,"407079","297136","241131","261725","359622","319517","0","346741","71","346741"
"93",The Beaches,"711146","517112","464653","434581","630102","472404","0","591038","93","591038"
"130",Thorncliffe Park,"0","0","295875","197454","0","0","0","218923","130","218923"
"80",University/Annex,"885045","639737","563550","536325","698368","645547","0","627902","80","627902"
"110",Victoria Village,"451454","430468","286297","187303","398815","207966","0","330452","110","330452"
"40",Waterfront Communities-The Island,"201520","466224","342288","317425","0","498586","0","321437","40","321437"
"26",West Hill,"318413","254504","198482","148517","398492","210102","0","274324","26","274324"
"154",West Humber-Clairville,"342267","289141","240184","170246","413224","330000","0","328160","154","328160"
"118",Westminster-Branson,"547591","339700","315262","253311","393936","321439","0","338055","118","338055"
"75",Weston,"336878","306167","313288","169660","324742","346870","0","297650","75","297650"
"70",Wexford-Maryvale,"322403","0","235511","205877","357913","302706","0","323062","70","323062"
"134",Willowdale East/Newtonbrook East,"617218","436138","481746","278103","604201","355891","253644","419330","134","419330"
"116",Willowdale West/Newtonbrook West,"503413","357446","365498","259517","432585","304123","0","413958","116","413958"
"148",Willowridge-Martingrove-Richview,"443341","322762","523173","306580","425763","330242","0","423008","148","423008"
"21",Woburn,"303691","234224","0","197595","322011","328653","0","280822","21","280822"
"92",Woodbine Corridor/Greenwood-Coxwell,"354800","332705","307637","232724","340650","318335","0","332160","92","332160"
"96",Woodbine-Lumsden,"293382","266928","307291","165356","309790","315997","0","290520","96","290520"
"64",Wychwood,"636836","373253","277192","221646","667171","422851","0","471284","64","471284"
"58",Yonge-Eglinton,"800672","483938","0","347792","668813","539348","0","694793","58","694793"
"61",Yonge-St.Clair,"974234","829266","765948","546258","733693","684754","0","714592","61","714592"
"122",Yorkdale-Glen Park,"457330","399067","254353","126558","427670","421349","0","382889","122","382889"
"38",Toronto,"466322","336376","294838","404793","354940","254436","384065","403092","38","403092"
"17",Agincourt/Malvern,"363136","313552","265419","178583","352759","293603","0","311649","17","311649"
"18",Agincourt/Malvern,"363136","313552","265419","178583","352759","293603","0","311649","18","311649"
"136",Bayview Woods-Steeles/Hillcrest Village,"533790","338218","285248","367494","476067","300935","0","413859","136","413859"
"90",Danforth Village-East York,"349801","320536","338155","0","403641","340301","0","344486","90","344486"
"108",Don Valley Village/Pleasant View,"456500","371000","283867","215595","400678","350801","0","354840","108","354840"
"67",Dovercourt/Davenport/Junction,"366281","325577","307310","233840","375167","328955","360525","337641","67","337641"
"104",Dufferin Grove/Little Portugal,"420295","390983","340509","204560","446565","376148","0","379608","104","379608"
"72",L'Amoreaux/Steeles/Milliken,"394055","293458","259152","202151","346337","339360","0","314642","72","314642"
"30",L'Amoreaux/Steeles/Milliken,"394055","293458","259152","202151","346337","339360","0","314642","30","314642"
"79",Little Italy/Trinity-Bellwoods,"509611","434453","413727","315063","542560","473806","0","454837","79","454837"
"84",Moss Park/Regent Park,"515191","423440","379270","288596","0","381955","0","337696","84","337696"
"152",Mount Olive-Silverstone-Jamestown/Thistletown,"331077","278026","206947","164267","401628","285730","0","276792","152","276792"
"90",Playter Estates-Danforth,"588842","392469","460519","0","492662","425452","0","466288","90","466288"
"88",Riverdale,"475319","378291","351145","332798","440255","373198","405380","393663","88","393663"
"156",Rustic/Pelmo Park/Humberlea,"406222","402277","268501","267223","368707","335822","0","394171","156","394171"
"63",University/Annex,"885045","639737","563550","536325","698368","645547","0","627902","63","627902"
"117",Willowdale West/Newtonbrook West,"503413","357446","365498","259517","432585","304123","0","413958","117","413958"
"91",Woodbine Corridor/Greenwood-Coxwell,"354800","332705","307637","232724","340650","318335","0","332160","91","332160"
